epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4063,1.50143,1.27062,1.26747,0.8622,0.78561,0.86699,0.51569,1.37798,1.05861,1.25124,0.000332251,0.000332251,0.0671071
2,199.939,1.39039,0.93025,1.21263,0.90536,0.79053,0.87676,0.52671,1.40106,0.96283,1.23856,0.000652406,0.000652406,0.034094
3,296.793,1.39008,0.89619,1.21425,0.91924,0.81921,0.9031,0.56208,1.31702,0.79188,1.1967,0.000959361,0.000959361,0.00106759
4,391.526,1.37438,0.85902,1.20494,0.91283,0.86336,0.93354,0.59763,1.27441,0.6995,1.18549,0.0009406,0.0009406,0.0009406
5,486.823,1.34365,0.81561,1.19003,0.91841,0.83797,0.92001,0.58521,1.27827,0.71949,1.16895,0.0009208,0.0009208,0.0009208
6,580.124,1.34237,0.81263,1.18853,0.92097,0.83511,0.9108,0.5778,1.29446,0.7149,1.20307,0.000901,0.000901,0.000901
7,674.148,1.31425,0.77903,1.17838,0.93433,0.86005,0.93572,0.59095,1.28765,0.66617,1.17546,0.0008812,0.0008812,0.0008812
8,768.37,1.30422,0.76048,1.16919,0.92109,0.85117,0.92837,0.6102,1.23059,0.66205,1.16233,0.0008614,0.0008614,0.0008614
9,862.196,1.30429,0.76144,1.16861,0.92582,0.87757,0.94794,0.60414,1.25468,0.68517,1.16836,0.0008416,0.0008416,0.0008416
10,956.268,1.28334,0.72954,1.15494,0.92787,0.88661,0.94761,0.62155,1.21519,0.60576,1.14142,0.0008218,0.0008218,0.0008218
11,1050.59,1.29729,0.73806,1.16212,0.93314,0.88043,0.94084,0.61302,1.22125,0.6052,1.15388,0.000802,0.000802,0.000802
12,1144.82,1.27687,0.71135,1.15037,0.94005,0.87785,0.94656,0.61566,1.21682,0.6092,1.14568,0.0007822,0.0007822,0.0007822
13,1239.78,1.26305,0.70208,1.14417,0.93079,0.88598,0.95045,0.62278,1.21996,0.6021,1.14397,0.0007624,0.0007624,0.0007624
14,1334.11,1.25605,0.69575,1.14281,0.94245,0.8917,0.95266,0.62658,1.22311,0.58406,1.14988,0.0007426,0.0007426,0.0007426
15,1430.29,1.25007,0.68168,1.13582,0.95114,0.89223,0.95562,0.62068,1.21341,0.57743,1.14312,0.0007228,0.0007228,0.0007228
16,1527,1.25529,0.68012,1.1394,0.93595,0.8888,0.95173,0.61258,1.25184,0.59102,1.16531,0.000703,0.000703,0.000703
17,1620.24,1.23786,0.67121,1.13161,0.94457,0.89225,0.95746,0.63126,1.21083,0.57021,1.14285,0.0006832,0.0006832,0.0006832
18,1711.8,1.23226,0.66364,1.13322,0.93801,0.90575,0.95848,0.63401,1.19438,0.55885,1.1266,0.0006634,0.0006634,0.0006634
19,1804.15,1.22392,0.65503,1.1288,0.94385,0.90175,0.95899,0.6345,1.19926,0.55529,1.14199,0.0006436,0.0006436,0.0006436
20,1897.39,1.22189,0.65337,1.12741,0.94501,0.90004,0.95953,0.63156,1.20826,0.56131,1.14192,0.0006238,0.0006238,0.0006238
21,1990.13,1.21709,0.64409,1.12097,0.94379,0.90472,0.96011,0.6396,1.1856,0.54135,1.13126,0.000604,0.000604,0.000604
22,2083.35,1.23047,0.64411,1.12365,0.94439,0.90217,0.96034,0.63216,1.21379,0.55664,1.14568,0.0005842,0.0005842,0.0005842
23,2175.83,1.22067,0.63923,1.12418,0.946,0.90499,0.96456,0.64528,1.17825,0.53448,1.12623,0.0005644,0.0005644,0.0005644
